analytics_id;ativo;cor_primaria;cor_secundaria;created_at;dominio_customizado;dominio_verificado;favicon_url;id;logo_url;meta_tags;nome_empresa;pixel_facebook;politica_privacidade;template_padrao;termos_uso;titulo_sistema;updated_at;user_id
;true;#64f2ce;#f76e5f;2025-11-21 22:58:39.152989+00;;false;;dfcad68f-9976-4b9f-9d0e-55b20ec1a3c9;https://zxcthpshrjsvuiihocvz.supabase.co/storage/v1/object/public/marca-logos/cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af/1763765896249.png;{};Guilds Psicolab;;;moderno;;PsiColab;2025-11-21 22:58:39.152989+00;cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af
;true;#8B5636;#D4C7B7;2025-11-29 11:55:36.761+00;;false;;e2f4d47d-28d7-4b83-a836-7733b82d4e40;https://zxcthpshrjsvuiihocvz.supabase.co/storage/v1/object/public/marca-logos/f2a5b9f7-815e-487a-adf6-72ff0e4064dd/1764417326939.png;{};Sodréia;;;moderno;;PsiColab;2025-11-29 11:57:16.888386+00;f2a5b9f7-815e-487a-adf6-72ff0e4064dd
;true;#a4a4b7;#1f0d4a;2025-12-01 18:09:13.165393+00;;false;;20d18513-af06-4a95-8c52-502f1187e3ea;https://zxcthpshrjsvuiihocvz.supabase.co/storage/v1/object/public/marca-logos/930c44b5-3b73-4770-a9af-ac72471c65cc/1765303082296.jpeg;{};RH COMYPAN;;;moderno;;PsiColab;2025-12-09 17:58:10.161191+00;930c44b5-3b73-4770-a9af-ac72471c65cc
;true;#6366f1;#8b5cf6;2026-01-31 03:01:14.490116+00;;false;;831a00a9-3660-4ff7-af03-9a8a4b1a39d2;;{};Sistema;;;moderno;;PsiColab;2026-01-31 03:01:22.648104+00;9f4a0435-873d-4310-9c12-5c48eadbc7e3
