asaas_payment_id;asaas_transaction_id;comprovante_url;consultora_id;created_at;data_pagamento;fatura_id;forma_pagamento;id;observacoes;valor_pago
pay_eo03b01cjg10vgpp;https://sandbox.asaas.com/comprovantes/h/UEFZTUVOVF9SRUNFSVZFRDpwYXlfZW8wM2IwMWNqZzEwdmdwcA%3D%3D;;cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af;2025-11-22 15:58:07.114776+00;2025-11-22 15:58:07.017+00;ea1eac2f-0f29-4102-acf4-eb9467cd4dfc;PIX;6b852286-b32a-48a6-8325-e55affbc6657;Pagamento confirmado via Asaas - PAYMENT_RECEIVED;80.00
pay_0h1x6hquy6csmgc7;https://sandbox.asaas.com/comprovantes/h/UEFZTUVOVF9SRUNFSVZFRDpwYXlfMGgxeDZocXV5NmNzbWdjNw%3D%3D;;cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af;2025-11-22 15:58:28.183941+00;2025-11-22 15:58:28.083+00;ecec0a5c-f39e-463a-b594-f30a39152387;PIX;5c47ba97-49a7-4b07-b268-60b7c3858f49;Pagamento confirmado via Asaas - PAYMENT_RECEIVED;50.00
pay_of7e4gb0sqzkfnqh;https://sandbox.asaas.com/comprovantes/h/UEFZTUVOVF9SRUNFSVZFRDpwYXlfb2Y3ZTRnYjBzcXprZm5xaA%3D%3D;;cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af;2025-11-22 16:01:00.26216+00;2025-11-22 16:01:00.104+00;fed163df-aa7a-483f-a4d8-bf501453dbf9;BOLETO;3a80e57e-4117-4acd-bd07-32594635cac6;Pagamento confirmado via Asaas - PAYMENT_RECEIVED;100.00
pay_id3dt55fjnly6bj3;;;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;2026-04-14 15:00:06.583724+00;2026-04-14 00:00:00+00;e33c947a-a94b-43aa-90ce-3bd41929c586;PIX;f92c0cf6-fecc-4857-86ba-ce4925b0faa9;;2386.00
