created_at;id;ip_address;metadata;origem;perfil_publico_id;tipo_evento;user_agent
2025-12-19 19:33:25.320658+00;726e6fed-e14d-4569-98ff-28a096849347;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-19 21:12:03.968089+00;3689cadd-c0cb-498c-b65d-5934af70ff39;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;clique_servico;
2025-12-19 21:59:45.898977+00;c94b66a1-9192-484d-840d-bf3677df8c28;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;clique_cta_flutuante;
2025-12-19 22:35:43.298101+00;f969195b-efe9-4110-8e44-2a85f16b09cf;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-20 20:57:58.7713+00;41ef53d3-741f-4173-b96a-ff9d94212390;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-21 04:48:48.71715+00;35b7487c-b064-4ff5-942b-b64731a7e12f;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-21 08:57:49.213014+00;9c77ded3-bf5a-4595-8e77-4eca14375ccf;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-21 14:03:11.26521+00;facc625a-da8c-409b-83d1-d02d6c13a08d;;"{""isDomainCustomizado"":false,""url"":""https://8aa7a0f1-b1c9-4415-8da6-f7ec2d5b0826.lovableproject.com/perfil/gustavopsiqguilds?forceHideBadge=true""}";;17df36a9-2e4e-4e38-842a-9835d291a8cd;visita;
2025-12-21 14:06:35.422806+00;6841b221-2e93-4f32-8c1c-b160e395ba15;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-21 14:13:44.058977+00;6f5eabef-b405-4f1b-b287-edfcc10e97c2;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-22 20:17:06.115515+00;452b4ffc-6924-468b-b39d-429bb44e558a;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-22 20:24:27.86762+00;4c148cab-06b4-47d9-81a6-90c6d541a765;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;clique_cta_flutuante;
2025-12-23 07:31:33.023682+00;0dc22db2-e188-4ca4-8ff3-1c0f2b16997f;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-23 07:31:37.55098+00;78397a8a-6d60-4e5c-9282-c1f691a33010;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-23 07:32:02.060241+00;2f08953a-401e-4dcc-a4b2-b5e43632e639;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-23 15:04:33.272473+00;bd0adf30-8fcf-462a-b9cc-d8b95a17af60;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-23 15:04:33.356516+00;88835b65-7e7c-421c-8c15-15d01e53d014;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-27 20:16:01.222588+00;bcac5770-786b-487a-b477-8b0de4142212;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-27 20:43:57.752584+00;17e80f98-bd4e-49c4-ae25-d7515fa34d22;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-28 14:59:10.181839+00;8b5ef486-b2b3-4a7e-b4f0-a1d16c7d6436;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-28 15:02:03.623435+00;92cd4195-455d-4fbe-ac55-2a1c74068c98;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-28 15:03:35.621772+00;7e7e2b7a-39f8-4a8c-8b22-aed6435dacb0;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-28 15:18:20.926674+00;57e43d1d-a10c-4964-beca-4d678b155253;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-28 15:18:20.938016+00;ad721643-b6cc-44f8-8e74-19aa0b8b782a;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
2025-12-31 06:27:35.359953+00;fbae80c8-f353-473b-b227-6a84132fc691;;"{""isDomainCustomizado"":true,""url"":""https://sodreia.com.br""}";;5e200087-a353-4237-a68c-d2622a67cac3;visita;
