ativado_em;created_at;dns_verificado_em;dominio;erro_mensagem;id;notas_admin;perfil_publico_id;ssl_erro_mensagem;ssl_status;ssl_valido_ate;ssl_verificado_em;status;token_verificacao;updated_at
2025-11-27 11:56:19.368+00;2025-11-22 17:09:44.521774+00;2025-11-25 20:46:33.834+00;psi.guilds.com.br;;444d6c82-f7c6-435c-afa0-e88bfeaaf878;Pronto;17df36a9-2e4e-4e38-842a-9835d291a8cd;;ativo;;2025-11-25 20:46:33.834+00;ativo;37d1de632314d7c0b05ac49414ca15d90e071f95ddc5ce44d17bba17418f08b4;2025-11-27 11:56:20.153533+00
2025-11-28 12:08:35.541+00;2025-11-26 09:56:46.724964+00;2025-11-27 12:00:34.372+00;sodreia.com.br;;b4d95b8f-407c-4ee9-ac4a-3d1d61cc9421;;5e200087-a353-4237-a68c-d2622a67cac3;;ativo;;2025-11-27 12:00:34.372+00;ativo;24fed94006890f8080da969cf97deb670ae5a0922ab471003d665a6a930adb6f;2025-11-28 12:08:36.630744+00
