ativo;consultora_id;cor;created_at;icone;id;nome;ordem;tipo;updated_at
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#10b981;2025-12-10 14:37:50.252534+00;Tag;88c3d821-df1c-493f-ad4f-c28ab4c58754;Influência no Trabalho;104;avaliacao;2025-12-10 19:09:25.811298+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#f59e0b;2025-12-10 14:34:11.860237+00;Tag;0ba26672-0b9c-4308-8463-c2770a1961eb;Exigências Cognitivas;102;avaliacao;2025-12-10 21:33:49.97192+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 14:54:36.875976+00;Tag;eb8dc524-5522-4175-868e-29837c07c21f;Possibilidades de Desenvolvimento;105;avaliacao;2025-12-10 21:34:19.862255+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ef4444;2025-12-10 14:56:29.472217+00;Tag;b364ca3c-5a7c-4335-8961-711a5b8d8c61;Previsibilidade;106;avaliacao;2025-12-10 19:11:11.591475+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ef4444;2025-12-10 14:59:39.075371+00;Tag;18bef7cc-b531-4584-9a80-1c054cf577c3;Recompensas;108;avaliacao;2025-12-10 19:11:18.006314+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#6366f1;2025-12-10 19:35:04.033158+00;Tag;c82bb519-03dc-4f59-8fc9-8a364934075a;Comunidade social no trabalho;112;avaliacao;2025-12-10 19:35:04.033158+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#6366f1;2025-12-10 19:37:36.991811+00;Tag;45a6eb66-0490-498d-afd4-4696f4cfcf7c;Qualidade da liderança;113;avaliacao;2025-12-10 19:37:36.991811+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#6366f1;2025-12-10 19:59:52.435499+00;Tag;8c6f01f9-da1a-45c1-a202-006bae969a87;Auto-eficácia;117;avaliacao;2025-12-10 19:59:52.435499+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#6366f1;2025-12-10 20:02:01.517115+00;Tag;c9172209-4d5e-43a5-9599-2ee8e3244651;Significado do trabalho;118;avaliacao;2025-12-10 20:02:01.517115+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#6366f1;2025-12-10 20:04:30.868427+00;Tag;1e0100fe-59ad-4b38-a825-9398b0f88cd3;Compromisso face ao local de trabalho;119;avaliacao;2025-12-10 20:04:30.868427+00
