categoria;configuracoes;consultora_id;created_at;descricao;id;nome;numero_questoes;questoes;status;tempo_estimado;tipo;ultima_utilizacao;uso_recente
Liderança;{};cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af;2025-10-19 14:11:07.066092+00;teste;54868164-e9bb-478d-af1e-813ec955c8a4;Teste;3;"[{""categoria"":""Carga de Trabalho"",""id"":""q-1760883048371"",""obrigatoria"":true,""ordem"":0,""pergunta"":""saf"",""peso"":5,""tipo"":""escala""},{""categoria"":""Carga de Trabalho"",""id"":""q-1760883050413"",""obrigatoria"":true,""ordem"":1,""pergunta"":""sfa"",""peso"":5,""tipo"":""escala""},{""categoria"":""Carga de Trabalho"",""id"":""q-1760883052811"",""obrigatoria"":true,""ordem"":2,""pergunta"":""asfas"",""peso"":5,""tipo"":""escala""}]";ativo;5;lideranca;;0
Liderança;{};b990df2a-604e-41cd-a3b4-31844fc4035e;2025-11-10 12:37:13.995019+00;teste;dd842873-af1e-4e55-a6f8-139ca09ce494;teste;1;"[{""categoria"":""Carga de Trabalho"",""id"":""q-1762778227135"",""obrigatoria"":true,""ordem"":0,""pergunta"":""teste"",""peso"":5,""tipo"":""escala""}]";ativo;2;burnout;;0
Saúde Mental;{};930c44b5-3b73-4770-a9af-ac72471c65cc;2025-12-01 18:31:00.267601+00;Esse template serve para questões de diagnósticos de burnout;ff235953-b852-4bb7-ba94-1459955422fa;Template Burnout;3;"[{""categoria"":""Saúde Mental"",""id"":""q-1764613784465"",""obrigatoria"":true,""ordem"":0,""pergunta"":""Você já teve Burnout"",""peso"":4,""tipo"":""sim_nao""},{""categoria"":""Saúde Mental"",""id"":""q-1764613816938"",""obrigatoria"":true,""ordem"":1,""pergunta"":""Você se estressa ou se aborrece com frequência no trabalho?"",""peso"":4,""tipo"":""sim_nao""},{""categoria"":""Carga de Trabalho"",""id"":""q-1764613841740"",""obrigatoria"":true,""ordem"":2,""pergunta"":""Você se sente sobrecarregado?"",""peso"":5,""tipo"":""sim_nao""}]";ativo;5;burnout;;0
Clima Organizacional;{};f2a5b9f7-815e-487a-adf6-72ff0e4064dd;2025-12-09 15:07:45.597302+00;Para cada afirmação indique (X) a que mais se adequa à sua resposta de acordo com as seguintes alternativas:;1253f7f0-882f-4dfe-a480-3bb7f8184bc7;COPSOQ II - VERSÃO MÉDIA;76;"[{""categoria"":""Exigências Quantitativas"",""id"":""copsoq-1"",""obrigatoria"":true,""opcoes"":[],""ordem"":1,""pergunta"":""A sua carga de trabalho acumula-se por ser mal distribuída?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Exigências Quantitativas"",""id"":""copsoq-2"",""obrigatoria"":true,""opcoes"":[],""ordem"":2,""pergunta"":""Com que frequência não tem tempo para completar todas as tarefas do seu trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Exigências Quantitativas"",""id"":""copsoq-3"",""obrigatoria"":true,""opcoes"":[],""ordem"":3,""pergunta"":""Precisa fazer horas-extra?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Ritmo de Trabalho"",""id"":""copsoq-4"",""obrigatoria"":true,""opcoes"":[],""ordem"":4,""pergunta"":""Precisa trabalhar muito rapidamente?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Exigências Cognitivas"",""id"":""copsoq-5"",""obrigatoria"":true,""opcoes"":[],""ordem"":5,""pergunta"":""O seu trabalho exige a sua atenção constante?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Exigências Cognitivas"",""id"":""copsoq-6"",""obrigatoria"":true,""opcoes"":[],""ordem"":6,""pergunta"":""O seu trabalho requer que seja bom a propor novas ideias?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Exigências Cognitivas"",""id"":""copsoq-7"",""obrigatoria"":true,""opcoes"":[],""ordem"":7,""pergunta"":""O seu trabalho exige que tome decisões difíceis?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Exigências Emocionais"",""id"":""copsoq-8"",""obrigatoria"":true,""opcoes"":[],""ordem"":8,""pergunta"":""O seu trabalho exige emocionalmente de si?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Influência no Trabalho"",""id"":""copsoq-9"",""obrigatoria"":true,""opcoes"":[],""ordem"":9,""pergunta"":""Tem um elevado grau de influência no seu trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Influência no Trabalho"",""id"":""copsoq-10"",""obrigatoria"":true,""opcoes"":[],""ordem"":10,""pergunta"":""Participa na escolha das pessoas com quem trabalha?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Influência no Trabalho"",""id"":""copsoq-11"",""obrigatoria"":true,""opcoes"":[],""ordem"":11,""pergunta"":""Pode influenciar a quantidade de trabalho que lhe compete a si?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Influência no Trabalho"",""id"":""copsoq-12"",""obrigatoria"":true,""opcoes"":[],""ordem"":12,""pergunta"":""Tem alguma influência sobre o tipo de tarefas que faz?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Possibilidades de Desenvolvimento"",""id"":""copsoq-13"",""obrigatoria"":true,""opcoes"":[],""ordem"":13,""pergunta"":""O seu trabalho exige que tenha iniciativa?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Possibilidades de Desenvolvimento"",""id"":""copsoq-14"",""obrigatoria"":true,""opcoes"":[],""ordem"":14,""pergunta"":""O seu trabalho permite-lhe aprender coisas novas?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Possibilidades de Desenvolvimento"",""id"":""copsoq-15"",""obrigatoria"":true,""opcoes"":[],""ordem"":15,""pergunta"":""O seu trabalho permite-lhe usar as suas habilidades ou perícias?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Previsibilidade"",""id"":""copsoq-16"",""obrigatoria"":true,""opcoes"":[],""ordem"":16,""pergunta"":""No seu local de trabalho, é informado com antecedência sobre decisões importantes, mudanças ou planos para o futuro?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Previsibilidade"",""id"":""copsoq-17"",""obrigatoria"":true,""opcoes"":[],""ordem"":17,""pergunta"":""Recebe toda a informação de que necessita para fazer bem o seu trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Transparência do Papel Laboral"",""id"":""copsoq-18"",""obrigatoria"":true,""opcoes"":[],""ordem"":18,""pergunta"":""O seu trabalho apresenta objectivos claros?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Transparência do Papel Laboral"",""id"":""copsoq-19"",""obrigatoria"":true,""opcoes"":[],""ordem"":19,""pergunta"":""Sabe exactamente quais as suas responsabilidades?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Transparência do Papel Laboral"",""id"":""copsoq-20"",""obrigatoria"":true,""opcoes"":[],""ordem"":20,""pergunta"":""Sabe exactamente o que é esperado de si?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Recompensas / Reconhecimento"",""id"":""copsoq-21"",""obrigatoria"":true,""opcoes"":[],""ordem"":21,""pergunta"":""O seu trabalho é reconhecido e apreciado pela gerência?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Recompensas / Reconhecimento"",""id"":""copsoq-22"",""obrigatoria"":true,""opcoes"":[],""ordem"":22,""pergunta"":""A gerência do seu local de trabalho respeita-o?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Recompensas / Reconhecimento"",""id"":""copsoq-23"",""obrigatoria"":true,""opcoes"":[],""ordem"":23,""pergunta"":""É tratado de forma justa no seu local de trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Conflitos de Papéis Laborais"",""id"":""copsoq-24"",""obrigatoria"":true,""opcoes"":[],""ordem"":24,""pergunta"":""Faz coisas no seu trabalho que uns concordam mas outros não?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Conflitos de Papéis Laborais"",""id"":""copsoq-25"",""obrigatoria"":true,""opcoes"":[],""ordem"":25,""pergunta"":""Por vezes tem que fazer coisas que deveriam ser feitas de outra maneira?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Conflitos de Papéis Laborais"",""id"":""copsoq-26"",""obrigatoria"":true,""opcoes"":[],""ordem"":26,""pergunta"":""Por vezes tem que fazer coisas que considera desnecessárias?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Apoio Social de Colegas"",""id"":""copsoq-27"",""obrigatoria"":true,""opcoes"":[],""ordem"":27,""pergunta"":""Com que frequência tem ajuda e apoio dos seus colegas de trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Apoio Social de Colegas"",""id"":""copsoq-28"",""obrigatoria"":true,""opcoes"":[],""ordem"":28,""pergunta"":""Com que frequência os seus colegas estão dispostos a ouvi-lo(a) sobre os seus problemas de trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Apoio Social de Colegas"",""id"":""copsoq-29"",""obrigatoria"":true,""opcoes"":[],""ordem"":29,""pergunta"":""Com que frequência os seus colegas falam consigo acerca do seu desempenho laboral?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Apoio Social de Superiores"",""id"":""copsoq-30"",""obrigatoria"":true,""opcoes"":[],""ordem"":30,""pergunta"":""Com que frequência o seu superior imediato fala consigo sobre como está a decorrer o seu trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Apoio Social de Superiores"",""id"":""copsoq-31"",""obrigatoria"":true,""opcoes"":[],""ordem"":31,""pergunta"":""Com que frequência tem ajuda e apoio do seu superior imediato?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Apoio Social de Superiores"",""id"":""copsoq-32"",""obrigatoria"":true,""opcoes"":[],""ordem"":32,""pergunta"":""Com que frequência é que o seu superior imediato fala consigo em relação ao seu desempenho laboral?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Comunidade Social no Trabalho"",""id"":""copsoq-33"",""obrigatoria"":true,""opcoes"":[],""ordem"":33,""pergunta"":""Existe um bom ambiente de trabalho entre si e os seus colegas?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Comunidade Social no Trabalho"",""id"":""copsoq-34"",""obrigatoria"":true,""opcoes"":[],""ordem"":34,""pergunta"":""Existe uma boa cooperação entre os colegas de trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Comunidade Social no Trabalho"",""id"":""copsoq-35"",""obrigatoria"":true,""opcoes"":[],""ordem"":35,""pergunta"":""No seu local de trabalho sente-se parte de uma comunidade?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Qualidade da Liderança"",""id"":""copsoq-36"",""obrigatoria"":true,""opcoes"":[],""ordem"":36,""pergunta"":""Em relação à sua chefia direta, até que ponto considera que oferece aos indivíduos e ao grupo boas oportunidades de desenvolvimento?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Qualidade da Liderança"",""id"":""copsoq-37"",""obrigatoria"":true,""opcoes"":[],""ordem"":37,""pergunta"":""Em relação à sua chefia direta, até que ponto considera que dá prioridade à satisfação no trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Qualidade da Liderança"",""id"":""copsoq-38"",""obrigatoria"":true,""opcoes"":[],""ordem"":38,""pergunta"":""Em relação à sua chefia direta, até que ponto considera que é bom no planeamento do trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Qualidade da Liderança"",""id"":""copsoq-39"",""obrigatoria"":true,""opcoes"":[],""ordem"":39,""pergunta"":""Em relação à sua chefia direta, até que ponto considera que é bom a resolver conflitos?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Confiança Horizontal"",""id"":""copsoq-40"",""obrigatoria"":true,""opcoes"":[],""ordem"":40,""pergunta"":""Os funcionários ocultam informações uns dos outros?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Confiança Horizontal"",""id"":""copsoq-41"",""obrigatoria"":true,""opcoes"":[],""ordem"":41,""pergunta"":""Os funcionários ocultam informação à gerência?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Confiança Horizontal"",""id"":""copsoq-42"",""obrigatoria"":true,""opcoes"":[],""ordem"":42,""pergunta"":""Os funcionários confiam uns nos outros de um modo geral?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Confiança Vertical"",""id"":""copsoq-43"",""obrigatoria"":true,""opcoes"":[],""ordem"":43,""pergunta"":""A gerência confia nos seus funcionários para fazerem o seu trabalho bem?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Confiança Vertical"",""id"":""copsoq-44"",""obrigatoria"":true,""opcoes"":[],""ordem"":44,""pergunta"":""Confia na informação que lhe é transmitida pela gerência?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Confiança Vertical"",""id"":""copsoq-45"",""obrigatoria"":true,""opcoes"":[],""ordem"":45,""pergunta"":""A gerência oculta informação aos seus funcionários?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Justiça e Respeito"",""id"":""copsoq-46"",""obrigatoria"":true,""opcoes"":[],""ordem"":46,""pergunta"":""Os conflitos são resolvidos de uma forma justa?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Justiça e Respeito"",""id"":""copsoq-47"",""obrigatoria"":true,""opcoes"":[],""ordem"":47,""pergunta"":""As sugestões dos funcionários são tratadas de forma séria pela gerência?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Justiça e Respeito"",""id"":""copsoq-48"",""obrigatoria"":true,""opcoes"":[],""ordem"":48,""pergunta"":""O trabalho é igualmente distribuído pelos funcionários?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Auto-eficácia"",""id"":""copsoq-49"",""obrigatoria"":true,""opcoes"":[],""ordem"":49,""pergunta"":""Sou sempre capaz de resolver problemas, se tentar o suficiente."",""peso"":1,""tipo"":""escala""},{""categoria"":""Auto-eficácia"",""id"":""copsoq-50"",""obrigatoria"":true,""opcoes"":[],""ordem"":50,""pergunta"":""É-me fácil seguir os meus planos e atingir os meus objetivos."",""peso"":1,""tipo"":""escala""},{""categoria"":""Significado do Trabalho"",""id"":""copsoq-51"",""obrigatoria"":true,""opcoes"":[],""ordem"":51,""pergunta"":""O seu trabalho tem algum significado para si?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Significado do Trabalho"",""id"":""copsoq-52"",""obrigatoria"":true,""opcoes"":[],""ordem"":52,""pergunta"":""Sente que o seu trabalho é importante?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Significado do Trabalho"",""id"":""copsoq-53"",""obrigatoria"":true,""opcoes"":[],""ordem"":53,""pergunta"":""Sente-se motivado e envolvido com o seu trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Compromisso c/ Local de Trabalho"",""id"":""copsoq-54"",""obrigatoria"":true,""opcoes"":[],""ordem"":54,""pergunta"":""Gosta de falar com os outros sobre o seu local de trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Compromisso c/ Local de Trabalho"",""id"":""copsoq-55"",""obrigatoria"":true,""opcoes"":[],""ordem"":55,""pergunta"":""Sente que os problemas do seu local de trabalho são seus também?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Satisfação Laboral"",""id"":""copsoq-56"",""obrigatoria"":true,""opcoes"":[],""ordem"":56,""pergunta"":""Em relação ao seu trabalho em geral, quão satisfeito está com as suas perspectivas de trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Satisfação Laboral"",""id"":""copsoq-57"",""obrigatoria"":true,""opcoes"":[],""ordem"":57,""pergunta"":""Em relação ao seu trabalho em geral, quão satisfeito está com as condições físicas do seu local de trabalho?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Satisfação Laboral"",""id"":""copsoq-58"",""obrigatoria"":true,""opcoes"":[],""ordem"":58,""pergunta"":""Em relação ao seu trabalho em geral, quão satisfeito está com a forma como as suas capacidades são utilizadas?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Satisfação Laboral"",""id"":""copsoq-59"",""obrigatoria"":true,""opcoes"":[],""ordem"":59,""pergunta"":""Em relação ao seu trabalho em geral, quão satisfeito está com o seu trabalho de uma forma global?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Insegurança Laboral"",""id"":""copsoq-60"",""obrigatoria"":true,""opcoes"":[],""ordem"":60,""pergunta"":""Sente-se preocupado em ficar desempregado?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Saúde Geral"",""id"":""copsoq-61"",""obrigatoria"":true,""opcoes"":[],""ordem"":61,""pergunta"":""Em geral, sente que a sua saúde é:"",""peso"":1,""tipo"":""escala""},{""categoria"":""Conflito Trabalho–Família"",""id"":""copsoq-62"",""obrigatoria"":true,""opcoes"":[],""ordem"":62,""pergunta"":""Sente que o seu trabalho lhe exige muita energia que acaba por afetar a sua vida privada negativamente?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Conflito Trabalho–Família"",""id"":""copsoq-63"",""obrigatoria"":true,""opcoes"":[],""ordem"":63,""pergunta"":""Sente que o seu trabalho lhe exige muito tempo que acaba por afetar a sua vida privada negativamente?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Conflito Trabalho–Família"",""id"":""copsoq-64"",""obrigatoria"":true,""opcoes"":[],""ordem"":64,""pergunta"":""A sua família e os seus amigos dizem-lhe que trabalha demais?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Problemas em Dormir"",""id"":""copsoq-65"",""obrigatoria"":true,""opcoes"":[],""ordem"":65,""pergunta"":""Com que frequência durante as últimas 4 semanas sentiu dificuldade a adormecer?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Problemas em Dormir"",""id"":""copsoq-66"",""obrigatoria"":true,""opcoes"":[],""ordem"":66,""pergunta"":""Com que frequência durante as últimas 4 semanas acordou várias vezes durante a noite e depois não conseguia adormecer novamente?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Burnout"",""id"":""copsoq-67"",""obrigatoria"":true,""opcoes"":[],""ordem"":67,""pergunta"":""Com que frequência durante as últimas 4 semanas sentiu-se fisicamente exausto?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Burnout"",""id"":""copsoq-68"",""obrigatoria"":true,""opcoes"":[],""ordem"":68,""pergunta"":""Com que frequência durante as últimas 4 semanas sentiu-se emocionalmente exausto?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Stress"",""id"":""copsoq-69"",""obrigatoria"":true,""opcoes"":[],""ordem"":69,""pergunta"":""Com que frequência durante as últimas 4 semanas sentiu-se irritado?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Stress"",""id"":""copsoq-70"",""obrigatoria"":true,""opcoes"":[],""ordem"":70,""pergunta"":""Com que frequência durante as últimas 4 semanas sentiu-se ansioso?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Sintomas Depressivos"",""id"":""copsoq-71"",""obrigatoria"":true,""opcoes"":[],""ordem"":71,""pergunta"":""Com que frequência durante as últimas 4 semanas sentiu-se triste?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Sintomas Depressivos"",""id"":""copsoq-72"",""obrigatoria"":true,""opcoes"":[],""ordem"":72,""pergunta"":""Com que frequência durante as últimas 4 semanas sentiu falta de interesse por coisas quotidianas?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Comportamentos Ofensivos"",""id"":""copsoq-73"",""obrigatoria"":true,""opcoes"":[],""ordem"":73,""pergunta"":""Nos últimos 12 meses, no seu local de trabalho: Tem sido alvo de insultos ou provocações verbais?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Comportamentos Ofensivos"",""id"":""copsoq-74"",""obrigatoria"":true,""opcoes"":[],""ordem"":74,""pergunta"":""Nos últimos 12 meses, no seu local de trabalho: Tem sido exposto a assédio sexual indesejado?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Comportamentos Ofensivos"",""id"":""copsoq-75"",""obrigatoria"":true,""opcoes"":[],""ordem"":75,""pergunta"":""Nos últimos 12 meses, no seu local de trabalho: Tem sido exposto a ameaças de violência?"",""peso"":1,""tipo"":""escala""},{""categoria"":""Comportamentos Ofensivos"",""id"":""copsoq-76"",""obrigatoria"":true,""opcoes"":[],""ordem"":76,""pergunta"":""Nos últimos 12 meses, no seu local de trabalho: Tem sido exposto a violência física?"",""peso"":1,""tipo"":""escala""}]";ativo;114;personalizada;;0
